model,prompt_condition,n,mean_total_score,mean_score,source_relevance,local_specificity,topic_nuance_target,satirical_bite,coherence_nonrandomness
gemini-3.5-flash,generic_issue,6,20.0,4.0,4.0,4.0,3.6666666666666665,4.166666666666667,4.166666666666667
gemini-3.5-flash,source_grounded,6,21.666666666666668,4.333333333333333,4.5,4.166666666666667,4.5,4.0,4.5
gemini-3.5-flash,target_first_rank,6,22.0,4.3999999999999995,4.666666666666667,4.5,4.333333333333333,4.333333333333333,4.166666666666667
gpt-5.4-mini,generic_issue,6,20.833333333333332,4.166666666666667,4.5,4.5,3.5,3.5,4.833333333333333
gpt-5.4-mini,source_grounded,6,21.833333333333332,4.366666666666666,4.833333333333333,4.333333333333333,4.166666666666667,3.6666666666666665,4.833333333333333
gpt-5.4-mini,target_first_rank,6,21.666666666666668,4.333333333333333,5.0,4.333333333333333,3.6666666666666665,3.8333333333333335,4.833333333333333
human_nexustentialism,human_baseline,6,21.833333333333332,4.366666666666666,4.0,4.833333333333333,3.8333333333333335,4.666666666666667,4.5
